# S&P 500 representative tickers (subset of 100 largest by market cap)
AAPL
MSFT
NVDA
AMZN
GOOGL
META
TSLA
BRK.B
LLY
JPM
V
AVGO
UNH
MA
XOM
JNJ
PG
HD
MRK
COST
ABBV
CVX
KO
BAC
PEP
WMT
CRM
NFLX
ADBE
TMO
ACN
ABT
WFC
MCD
CSCO
LIN
DHR
AMD
INTU
QCOM
TXN
AMGN
PM
NEE
SPGI
CAT
MS
GS
BX
RTX
ISRG
HON
AMAT
UNP
VRTX
BKNG
ADP
TJX
LOW
MDT
CB
SBUX
ADI
GILD
LRCX
BMY
SYK
MDLZ
REGN
BDX
MO
ELV
MMC
EOG
PLD
DE
ZTS
SO
HCA
BSX
ITW
SCHW
CL
KLAC
ETN
CMG
SNPS
AON
PGR
DUK
AZO
APH
MCO
CDNS
ICE
ORLY
GE
FCX
SHW
EMR
WM
EQIX
